Top-level zone: System: NonStridingTopLevelMemoryZoneContainer:System[00]
Top-level zone: Setup: NonStridingTopLevelMemoryZoneContainer:Setup[10 00 00]
Top-level zone: Temporary Tone ZCore: StridingTopLevelMemoryZoneContainer:Temporary Tone ZCore [02 00 00 00..02 03 00 00/0x10000] (4 items)
Top-level zone: Temporary Tone Analog Synth Model: StridingTopLevelMemoryZoneContainer:Temporary Tone Analog Synth Model [02 10 00 00..02 13 00 00/0x10000] (4 items)
Top-level zone: Temporary Tone RD Piano: NonStridingTopLevelMemoryZoneContainer:Temporary Tone RD Piano[02 20 00 00]
Top-level zone: Temporary Tone JUPITER-X: StridingTopLevelMemoryZoneContainer:Temporary Tone JUPITER-X [02 50 00 00..02 53 00 00/0x10000] (4 items)
Struct: Setup
Struct: System Common
Struct: System Control
Struct: Button Color Set
Struct: Drive
Struct: Arpeggio Common
Struct: Arpeggio Part
Struct: Master Comp
Struct: Master EQ
Struct: Sympathetic Resonance
Struct: ToneName
Struct: ToneCom
Struct: Model Bank Assign
Struct: USRDATABLK
Struct: Partial EQ
Struct: Partial LFO
Struct: Partial Pitch Env
Struct: Partial Filter Env
Struct: Partial Amp Env
Struct: Tone Common
Struct: Tone PMT
Struct: Tone Partial
Struct: Tone Synth Common
Struct: Tone Synth PMT
Struct: Tone Synth Partial
Struct: MDLSYN0
Struct: MDLJPX
Struct: MFX
Struct: Reverb
Struct: Chorus
Top-level struct: Setup
Top-level struct: System
Top-level struct: SynMdl
Top-level struct: RDTONE
Top-level struct: MdlJPX
Top-level struct: ZCore
offset,summary
04 04 32 03,ZCore[2].Partial LFO[2].Step Size
04 04 32 04,ZCore[2].Partial LFO[2].Rate
04 04 32 08,ZCore[2].Partial LFO[2].Offset
04 04 32 0a,ZCore[2].Partial LFO[2].Rate Detune
04 04 32 0b,ZCore[2].Partial LFO[2].Delay Time
04 04 32 0f,ZCore[2].Partial LFO[2].Delay Time Keyfolow
04 04 32 11,ZCore[2].Partial LFO[2].Fade Mode
04 04 32 12,ZCore[2].Partial LFO[2].Fade Time
04 04 32 16,ZCore[2].Partial LFO[2].Key Trigger
04 04 32 17,ZCore[2].Partial LFO[2].Pitch Depth
04 04 32 19,ZCore[2].Partial LFO[2].TVF Depth
04 04 32 1b,ZCore[2].Partial LFO[2].TVA Depth
04 04 32 1d,ZCore[2].Partial LFO[2].PAN Depth
04 04 32 1e,ZCore[2].Partial LFO[2].Phase Position
04 04 32 1f,ZCore[2].Partial LFO[2].Step
04 04 32 21,ZCore[2].Partial LFO[2].Step
04 04 32 23,ZCore[2].Partial LFO[2].Step
04 04 32 25,ZCore[2].Partial LFO[2].Step
04 04 32 27,ZCore[2].Partial LFO[2].Step
04 04 32 29,ZCore[2].Partial LFO[2].Step
04 04 32 2b,ZCore[2].Partial LFO[2].Step
04 04 32 2d,ZCore[2].Partial LFO[2].Step
04 04 32 2f,ZCore[2].Partial LFO[2].Step
04 04 32 31,ZCore[2].Partial LFO[2].Step
04 04 32 33,ZCore[2].Partial LFO[2].Step
04 04 32 35,ZCore[2].Partial LFO[2].Step
04 04 32 37,ZCore[2].Partial LFO[2].Step
04 04 32 39,ZCore[2].Partial LFO[2].Step
04 04 32 3b,ZCore[2].Partial LFO[2].Step
04 04 32 3d,ZCore[2].Partial LFO[2].Step
04 04 32 3f,ZCore[2].Partial LFO[2].Step Curve
04 04 32 40,ZCore[2].Partial LFO[2].Step Curve
04 04 32 41,ZCore[2].Partial LFO[2].Step Curve
04 04 32 42,ZCore[2].Partial LFO[2].Step Curve
04 04 32 43,ZCore[2].Partial LFO[2].Step Curve
04 04 32 44,ZCore[2].Partial LFO[2].Step Curve
04 04 32 45,ZCore[2].Partial LFO[2].Step Curve
04 04 32 46,ZCore[2].Partial LFO[2].Step Curve
04 04 32 47,ZCore[2].Partial LFO[2].Step Curve
04 04 32 48,ZCore[2].Partial LFO[2].Step Curve
04 04 32 49,ZCore[2].Partial LFO[2].Step Curve
04 04 32 4a,ZCore[2].Partial LFO[2].Step Curve
04 04 32 4b,ZCore[2].Partial LFO[2].Step Curve
04 04 32 4c,ZCore[2].Partial LFO[2].Step Curve
04 04 32 4d,ZCore[2].Partial LFO[2].Step Curve
04 04 32 4e,ZCore[2].Partial LFO[2].Step Curve
04 04 32 4f,ZCore[2].Partial LFO[2].Waveform
04 04 32 50,ZCore[2].Partial LFO[2].Rate Sync
04 04 32 51,ZCore[2].Partial LFO[2].Rate (note)
04 04 32 52,ZCore[2].Partial LFO[2].Step Size
04 04 32 53,ZCore[2].Partial LFO[2].Rate
04 04 32 57,ZCore[2].Partial LFO[2].Offset
04 04 32 59,ZCore[2].Partial LFO[2].Rate Detune
04 04 32 5a,ZCore[2].Partial LFO[2].Delay Time
04 04 32 5e,ZCore[2].Partial LFO[2].Delay Time Keyfolow
04 04 32 60,ZCore[2].Partial LFO[2].Fade Mode
04 04 32 61,ZCore[2].Partial LFO[2].Fade Time
04 04 32 65,ZCore[2].Partial LFO[2].Key Trigger
04 04 32 66,ZCore[2].Partial LFO[2].Pitch Depth
04 04 32 68,ZCore[2].Partial LFO[2].TVF Depth
04 04 32 6a,ZCore[2].Partial LFO[2].TVA Depth
04 04 32 6c,ZCore[2].Partial LFO[2].PAN Depth
04 04 32 6d,ZCore[2].Partial LFO[2].Phase Position
04 04 32 6e,ZCore[2].Partial LFO[2].Step
04 04 32 70,ZCore[2].Partial LFO[2].Step
04 04 32 72,ZCore[2].Partial LFO[2].Step
04 04 32 74,ZCore[2].Partial LFO[2].Step
04 04 32 76,ZCore[2].Partial LFO[2].Step
04 04 32 78,ZCore[2].Partial LFO[2].Step
04 04 32 7a,ZCore[2].Partial LFO[2].Step
04 04 32 7c,ZCore[2].Partial LFO[2].Step
04 04 32 7e,ZCore[2].Partial LFO[2].Step
04 04 33 00,ZCore[2].Partial LFO[2].Step
04 04 33 02,ZCore[2].Partial LFO[2].Step
04 04 33 04,ZCore[2].Partial LFO[2].Step
04 04 33 06,ZCore[2].Partial LFO[2].Step
04 04 33 08,ZCore[2].Partial LFO[2].Step
04 04 33 0a,ZCore[2].Partial LFO[2].Step
04 04 33 0c,ZCore[2].Partial LFO[2].Step
04 04 33 0e,ZCore[2].Partial LFO[2].Step Curve
04 04 33 0f,ZCore[2].Partial LFO[2].Step Curve
04 04 33 10,ZCore[2].Partial LFO[2].Step Curve
04 04 33 11,ZCore[2].Partial LFO[2].Step Curve
04 04 33 12,ZCore[2].Partial LFO[2].Step Curve
04 04 33 13,ZCore[2].Partial LFO[2].Step Curve
04 04 33 14,ZCore[2].Partial LFO[2].Step Curve
04 04 33 15,ZCore[2].Partial LFO[2].Step Curve
04 04 33 16,ZCore[2].Partial LFO[2].Step Curve
04 04 33 17,ZCore[2].Partial LFO[2].Step Curve
04 04 33 18,ZCore[2].Partial LFO[2].Step Curve
04 04 33 19,ZCore[2].Partial LFO[2].Step Curve
04 04 33 1a,ZCore[2].Partial LFO[2].Step Curve
04 04 33 1b,ZCore[2].Partial LFO[2].Step Curve
04 04 33 1c,ZCore[2].Partial LFO[2].Step Curve
04 04 33 1d,ZCore[2].Partial LFO[2].Step Curve
04 04 34 00,ZCore[2].Partial LFO[3].Waveform
04 04 34 01,ZCore[2].Partial LFO[3].Rate Sync
04 04 34 02,ZCore[2].Partial LFO[3].Rate (note)
04 04 34 03,ZCore[2].Partial LFO[3].Step Size
04 04 34 04,ZCore[2].Partial LFO[3].Rate
04 04 34 08,ZCore[2].Partial LFO[3].Offset
04 04 34 0a,ZCore[2].Partial LFO[3].Rate Detune
04 04 34 0b,ZCore[2].Partial LFO[3].Delay Time
04 04 34 0f,ZCore[2].Partial LFO[3].Delay Time Keyfolow
04 04 34 11,ZCore[2].Partial LFO[3].Fade Mode
04 04 34 12,ZCore[2].Partial LFO[3].Fade Time
04 04 34 16,ZCore[2].Partial LFO[3].Key Trigger
04 04 34 17,ZCore[2].Partial LFO[3].Pitch Depth
04 04 34 19,ZCore[2].Partial LFO[3].TVF Depth
04 04 34 1b,ZCore[2].Partial LFO[3].TVA Depth
04 04 34 1d,ZCore[2].Partial LFO[3].PAN Depth
04 04 34 1e,ZCore[2].Partial LFO[3].Phase Position
04 04 34 1f,ZCore[2].Partial LFO[3].Step
04 04 34 21,ZCore[2].Partial LFO[3].Step
04 04 34 23,ZCore[2].Partial LFO[3].Step
04 04 34 25,ZCore[2].Partial LFO[3].Step
04 04 34 27,ZCore[2].Partial LFO[3].Step
04 04 34 29,ZCore[2].Partial LFO[3].Step
04 04 34 2b,ZCore[2].Partial LFO[3].Step
04 04 34 2d,ZCore[2].Partial LFO[3].Step
04 04 34 2f,ZCore[2].Partial LFO[3].Step
04 04 34 31,ZCore[2].Partial LFO[3].Step
04 04 34 33,ZCore[2].Partial LFO[3].Step
04 04 34 35,ZCore[2].Partial LFO[3].Step
04 04 34 37,ZCore[2].Partial LFO[3].Step
04 04 34 39,ZCore[2].Partial LFO[3].Step
04 04 34 3b,ZCore[2].Partial LFO[3].Step
04 04 34 3d,ZCore[2].Partial LFO[3].Step
04 04 34 3f,ZCore[2].Partial LFO[3].Step Curve
04 04 34 40,ZCore[2].Partial LFO[3].Step Curve
04 04 34 41,ZCore[2].Partial LFO[3].Step Curve
04 04 34 42,ZCore[2].Partial LFO[3].Step Curve
04 04 34 43,ZCore[2].Partial LFO[3].Step Curve
04 04 34 44,ZCore[2].Partial LFO[3].Step Curve
04 04 34 45,ZCore[2].Partial LFO[3].Step Curve
04 04 34 46,ZCore[2].Partial LFO[3].Step Curve
04 04 34 47,ZCore[2].Partial LFO[3].Step Curve
04 04 34 48,ZCore[2].Partial LFO[3].Step Curve
04 04 34 49,ZCore[2].Partial LFO[3].Step Curve
04 04 34 4a,ZCore[2].Partial LFO[3].Step Curve
04 04 34 4b,ZCore[2].Partial LFO[3].Step Curve
04 04 34 4c,ZCore[2].Partial LFO[3].Step Curve
04 04 34 4d,ZCore[2].Partial LFO[3].Step Curve
04 04 34 4e,ZCore[2].Partial LFO[3].Step Curve
04 04 34 4f,ZCore[2].Partial LFO[3].Waveform
04 04 34 50,ZCore[2].Partial LFO[3].Rate Sync
04 04 34 51,ZCore[2].Partial LFO[3].Rate (note)
04 04 34 52,ZCore[2].Partial LFO[3].Step Size
04 04 34 53,ZCore[2].Partial LFO[3].Rate
04 04 34 57,ZCore[2].Partial LFO[3].Offset
04 04 34 59,ZCore[2].Partial LFO[3].Rate Detune
04 04 34 5a,ZCore[2].Partial LFO[3].Delay Time
04 04 34 5e,ZCore[2].Partial LFO[3].Delay Time Keyfolow
04 04 34 60,ZCore[2].Partial LFO[3].Fade Mode
04 04 34 61,ZCore[2].Partial LFO[3].Fade Time
04 04 34 65,ZCore[2].Partial LFO[3].Key Trigger
04 04 34 66,ZCore[2].Partial LFO[3].Pitch Depth
04 04 34 68,ZCore[2].Partial LFO[3].TVF Depth
04 04 34 6a,ZCore[2].Partial LFO[3].TVA Depth
04 04 34 6c,ZCore[2].Partial LFO[3].PAN Depth
04 04 34 6d,ZCore[2].Partial LFO[3].Phase Position
04 04 34 6e,ZCore[2].Partial LFO[3].Step
04 04 34 70,ZCore[2].Partial LFO[3].Step
04 04 34 72,ZCore[2].Partial LFO[3].Step
04 04 34 74,ZCore[2].Partial LFO[3].Step
04 04 34 76,ZCore[2].Partial LFO[3].Step
04 04 34 78,ZCore[2].Partial LFO[3].Step
04 04 34 7a,ZCore[2].Partial LFO[3].Step
04 04 34 7c,ZCore[2].Partial LFO[3].Step
04 04 34 7e,ZCore[2].Partial LFO[3].Step
04 04 35 00,ZCore[2].Partial LFO[3].Step
04 04 35 02,ZCore[2].Partial LFO[3].Step
04 04 35 04,ZCore[2].Partial LFO[3].Step
04 04 35 06,ZCore[2].Partial LFO[3].Step
04 04 35 08,ZCore[2].Partial LFO[3].Step
04 04 35 0a,ZCore[2].Partial LFO[3].Step
04 04 35 0c,ZCore[2].Partial LFO[3].Step
04 04 35 0e,ZCore[2].Partial LFO[3].Step Curve
04 04 35 0f,ZCore[2].Partial LFO[3].Step Curve
04 04 35 10,ZCore[2].Partial LFO[3].Step Curve
04 04 35 11,ZCore[2].Partial LFO[3].Step Curve
04 04 35 12,ZCore[2].Partial LFO[3].Step Curve
04 04 35 13,ZCore[2].Partial LFO[3].Step Curve
04 04 35 14,ZCore[2].Partial LFO[3].Step Curve
04 04 35 15,ZCore[2].Partial LFO[3].Step Curve
04 04 35 16,ZCore[2].Partial LFO[3].Step Curve
04 04 35 17,ZCore[2].Partial LFO[3].Step Curve
04 04 35 18,ZCore[2].Partial LFO[3].Step Curve
04 04 35 19,ZCore[2].Partial LFO[3].Step Curve
04 04 35 1a,ZCore[2].Partial LFO[3].Step Curve
04 04 35 1b,ZCore[2].Partial LFO[3].Step Curve
04 04 35 1c,ZCore[2].Partial LFO[3].Step Curve
04 04 35 1d,ZCore[2].Partial LFO[3].Step Curve
04 04 36 00,ZCore[2].Partial LFO[4].Waveform
04 04 36 01,ZCore[2].Partial LFO[4].Rate Sync
04 04 36 02,ZCore[2].Partial LFO[4].Rate (note)
04 04 36 03,ZCore[2].Partial LFO[4].Step Size
04 04 36 04,ZCore[2].Partial LFO[4].Rate
04 04 36 08,ZCore[2].Partial LFO[4].Offset
04 04 36 0a,ZCore[2].Partial LFO[4].Rate Detune
04 04 36 0b,ZCore[2].Partial LFO[4].Delay Time
04 04 36 0f,ZCore[2].Partial LFO[4].Delay Time Keyfolow
04 04 36 11,ZCore[2].Partial LFO[4].Fade Mode
04 04 36 12,ZCore[2].Partial LFO[4].Fade Time
04 04 36 16,ZCore[2].Partial LFO[4].Key Trigger
04 04 36 17,ZCore[2].Partial LFO[4].Pitch Depth
04 04 36 19,ZCore[2].Partial LFO[4].TVF Depth
04 04 36 1b,ZCore[2].Partial LFO[4].TVA Depth
04 04 36 1d,ZCore[2].Partial LFO[4].PAN Depth
04 04 36 1e,ZCore[2].Partial LFO[4].Phase Position
04 04 36 1f,ZCore[2].Partial LFO[4].Step
04 04 36 21,ZCore[2].Partial LFO[4].Step
04 04 36 23,ZCore[2].Partial LFO[4].Step
04 04 36 25,ZCore[2].Partial LFO[4].Step
04 04 36 27,ZCore[2].Partial LFO[4].Step
04 04 36 29,ZCore[2].Partial LFO[4].Step
04 04 36 2b,ZCore[2].Partial LFO[4].Step
04 04 36 2d,ZCore[2].Partial LFO[4].Step
04 04 36 2f,ZCore[2].Partial LFO[4].Step
04 04 36 31,ZCore[2].Partial LFO[4].Step
04 04 36 33,ZCore[2].Partial LFO[4].Step
04 04 36 35,ZCore[2].Partial LFO[4].Step
04 04 36 37,ZCore[2].Partial LFO[4].Step
04 04 36 39,ZCore[2].Partial LFO[4].Step
04 04 36 3b,ZCore[2].Partial LFO[4].Step
04 04 36 3d,ZCore[2].Partial LFO[4].Step
04 04 36 3f,ZCore[2].Partial LFO[4].Step Curve
04 04 36 40,ZCore[2].Partial LFO[4].Step Curve
04 04 36 41,ZCore[2].Partial LFO[4].Step Curve
04 04 36 42,ZCore[2].Partial LFO[4].Step Curve
04 04 36 43,ZCore[2].Partial LFO[4].Step Curve
04 04 36 44,ZCore[2].Partial LFO[4].Step Curve
04 04 36 45,ZCore[2].Partial LFO[4].Step Curve
04 04 36 46,ZCore[2].Partial LFO[4].Step Curve
04 04 36 47,ZCore[2].Partial LFO[4].Step Curve
04 04 36 48,ZCore[2].Partial LFO[4].Step Curve
04 04 36 49,ZCore[2].Partial LFO[4].Step Curve
04 04 36 4a,ZCore[2].Partial LFO[4].Step Curve
04 04 36 4b,ZCore[2].Partial LFO[4].Step Curve
04 04 36 4c,ZCore[2].Partial LFO[4].Step Curve
04 04 36 4d,ZCore[2].Partial LFO[4].Step Curve
04 04 36 4e,ZCore[2].Partial LFO[4].Step Curve
04 04 36 4f,ZCore[2].Partial LFO[4].Waveform
04 04 36 50,ZCore[2].Partial LFO[4].Rate Sync
04 04 36 51,ZCore[2].Partial LFO[4].Rate (note)
04 04 36 52,ZCore[2].Partial LFO[4].Step Size
04 04 36 53,ZCore[2].Partial LFO[4].Rate
04 04 36 57,ZCore[2].Partial LFO[4].Offset
04 04 36 59,ZCore[2].Partial LFO[4].Rate Detune
04 04 36 5a,ZCore[2].Partial LFO[4].Delay Time
04 04 36 5e,ZCore[2].Partial LFO[4].Delay Time Keyfolow
04 04 36 60,ZCore[2].Partial LFO[4].Fade Mode
04 04 36 61,ZCore[2].Partial LFO[4].Fade Time
04 04 36 65,ZCore[2].Partial LFO[4].Key Trigger
04 04 36 66,ZCore[2].Partial LFO[4].Pitch Depth
04 04 36 68,ZCore[2].Partial LFO[4].TVF Depth
04 04 36 6a,ZCore[2].Partial LFO[4].TVA Depth
04 04 36 6c,ZCore[2].Partial LFO[4].PAN Depth
04 04 36 6d,ZCore[2].Partial LFO[4].Phase Position
04 04 36 6e,ZCore[2].Partial LFO[4].Step
04 04 36 70,ZCore[2].Partial LFO[4].Step
04 04 36 72,ZCore[2].Partial LFO[4].Step
04 04 36 74,ZCore[2].Partial LFO[4].Step
04 04 36 76,ZCore[2].Partial LFO[4].Step
04 04 36 78,ZCore[2].Partial LFO[4].Step
04 04 36 7a,ZCore[2].Partial LFO[4].Step
04 04 36 7c,ZCore[2].Partial LFO[4].Step
04 04 36 7e,ZCore[2].Partial LFO[4].Step
04 04 37 00,ZCore[2].Partial LFO[4].Step
04 04 37 02,ZCore[2].Partial LFO[4].Step
04 04 37 04,ZCore[2].Partial LFO[4].Step
04 04 37 06,ZCore[2].Partial LFO[4].Step
04 04 37 08,ZCore[2].Partial LFO[4].Step
04 04 37 0a,ZCore[2].Partial LFO[4].Step
04 04 37 0c,ZCore[2].Partial LFO[4].Step
04 04 37 0e,ZCore[2].Partial LFO[4].Step Curve
04 04 37 0f,ZCore[2].Partial LFO[4].Step Curve
04 04 37 10,ZCore[2].Partial LFO[4].Step Curve
04 04 37 11,ZCore[2].Partial LFO[4].Step Curve
04 04 37 12,ZCore[2].Partial LFO[4].Step Curve
04 04 37 13,ZCore[2].Partial LFO[4].Step Curve
04 04 37 14,ZCore[2].Partial LFO[4].Step Curve
04 04 37 15,ZCore[2].Partial LFO[4].Step Curve
04 04 37 16,ZCore[2].Partial LFO[4].Step Curve
04 04 37 17,ZCore[2].Partial LFO[4].Step Curve
04 04 37 18,ZCore[2].Partial LFO[4].Step Curve
04 04 37 19,ZCore[2].Partial LFO[4].Step Curve
04 04 37 1a,ZCore[2].Partial LFO[4].Step Curve
04 04 37 1b,ZCore[2].Partial LFO[4].Step Curve
04 04 37 1c,ZCore[2].Partial LFO[4].Step Curve
04 04 37 1d,ZCore[2].Partial LFO[4].Step Curve
04 04 38 00,ZCore[2].Partial EQ[1].EQ Low Gain
04 04 38 04,ZCore[2].Partial EQ[1].EQ Mid Gain
04 04 38 08,ZCore[2].Partial EQ[1].EQ High Gain
04 04 38 0c,ZCore[2].Partial EQ[1].EQ Low Frequency
04 04 38 10,ZCore[2].Partial EQ[1].EQ Mid Frequency
04 04 38 14,ZCore[2].Partial EQ[1].EQ High Frequency
04 04 38 18,ZCore[2].Partial EQ[1].EQ Mid Q
04 04 38 1a,ZCore[2].Partial EQ[1].EQ Switch
04 04 39 00,ZCore[2].Partial EQ[2].EQ Low Gain
04 04 39 04,ZCore[2].Partial EQ[2].EQ Mid Gain
04 04 39 08,ZCore[2].Partial EQ[2].EQ High Gain
04 04 39 0c,ZCore[2].Partial EQ[2].EQ Low Frequency
04 04 39 10,ZCore[2].Partial EQ[2].EQ Mid Frequency
04 04 39 14,ZCore[2].Partial EQ[2].EQ High Frequency
04 04 39 18,ZCore[2].Partial EQ[2].EQ Mid Q
04 04 39 1a,ZCore[2].Partial EQ[2].EQ Switch
04 04 3a 00,ZCore[2].Partial EQ[3].EQ Low Gain
04 04 3a 04,ZCore[2].Partial EQ[3].EQ Mid Gain
04 04 3a 08,ZCore[2].Partial EQ[3].EQ High Gain
04 04 3a 0c,ZCore[2].Partial EQ[3].EQ Low Frequency
04 04 3a 10,ZCore[2].Partial EQ[3].EQ Mid Frequency
04 04 3a 14,ZCore[2].Partial EQ[3].EQ High Frequency
04 04 3a 18,ZCore[2].Partial EQ[3].EQ Mid Q
04 04 3a 1a,ZCore[2].Partial EQ[3].EQ Switch
04 04 3b 00,ZCore[2].Partial EQ[4].EQ Low Gain
04 04 3b 04,ZCore[2].Partial EQ[4].EQ Mid Gain
04 04 3b 08,ZCore[2].Partial EQ[4].EQ High Gain
04 04 3b 0c,ZCore[2].Partial EQ[4].EQ Low Frequency
04 04 3b 10,ZCore[2].Partial EQ[4].EQ Mid Frequency
04 04 3b 14,ZCore[2].Partial EQ[4].EQ High Frequency
04 04 3b 18,ZCore[2].Partial EQ[4].EQ Mid Q
04 04 3b 1a,ZCore[2].Partial EQ[4].EQ Switch
04 04 3c 00,ZCore[2].Synth Common[1(unique)].Unison Switch
04 04 3c 01,ZCore[2].Synth Common[1(unique)].Unison Size
04 04 3c 02,ZCore[2].Synth Common[1(unique)].Unison Detune
04 04 3c 03,ZCore[2].Synth Common[1(unique)].Bend Range Fine Up
04 04 3c 04,ZCore[2].Synth Common[1(unique)].Bend Range Fine Down
04 04 3c 05,ZCore[2].Synth Common[1(unique)].Pitch Drift
04 04 3c 07,ZCore[2].Synth Common[1(unique)].Pitch Drift Cycle Number
04 04 3c 08,ZCore[2].Synth Common[1(unique)].Condition
04 04 3d 00,ZCore[2].Synth PMT[1(unique)].Structure1-2
04 04 3d 01,ZCore[2].Synth PMT[1(unique)].Structure3-4
04 04 3d 02,ZCore[2].Synth PMT[1(unique)].RING1-2 Level
04 04 3d 03,ZCore[2].Synth PMT[1(unique)].RING3-4 Level
04 04 3d 04,ZCore[2].Synth PMT[1(unique)].RING OSC1 Level
04 04 3d 05,ZCore[2].Synth PMT[1(unique)].RING OSC2 Level
04 04 3d 06,ZCore[2].Synth PMT[1(unique)].RING OSC3 Level
04 04 3d 07,ZCore[2].Synth PMT[1(unique)].RING OSC4 Level
04 04 3d 08,ZCore[2].Synth PMT[1(unique)].CrossMod1-2 Depth
04 04 3d 0c,ZCore[2].Synth PMT[1(unique)].CrossMod3-4 Depth
04 04 3d 10,ZCore[2].Synth PMT[1(unique)].CrossMod OSC1 Level
04 04 3d 11,ZCore[2].Synth PMT[1(unique)].CrossMod OSC2 Level
04 04 3d 12,ZCore[2].Synth PMT[1(unique)].CrossMod OSC3 Level
04 04 3d 13,ZCore[2].Synth PMT[1(unique)].CrossMod OSC4 Level
04 04 3d 14,ZCore[2].Synth PMT[1(unique)].Partial Phase Lock
04 04 3d 15,ZCore[2].Synth PMT[1(unique)].CrossMod2 1-2 Depth
04 04 3d 16,ZCore[2].Synth PMT[1(unique)].CrossMod2 3-4 Depth
04 04 3e 00,ZCore[2].Synth Partial[1].OSC Type
04 04 3e 01,ZCore[2].Synth Partial[1].VA Waveform
04 04 3e 02,ZCore[2].Synth Partial[1].PCM-Sync Wave Number
04 04 3e 06,ZCore[2].Synth Partial[1].Pulse Width
04 04 3e 07,ZCore[2].Synth Partial[1].PWM Depth
04 04 3e 08,ZCore[2].Synth Partial[1].SuperSAW Detune
04 04 3e 09,ZCore[2].Synth Partial[1].Click Type
04 04 3e 0a,ZCore[2].Synth Partial[1].HPF Cutoff
04 04 3e 0e,ZCore[2].Synth Partial[1].Filter Type
04 04 3e 0f,ZCore[2].Synth Partial[1].Filter Slope
04 04 3e 10,ZCore[2].Synth Partial[1].ADSREnv Switch
04 04 3e 11,ZCore[2].Synth Partial[1].Fat
04 04 3e 12,ZCore[2].Synth Partial[1].VCF Type
04 04 3e 13,ZCore[2].Synth Partial[1].OSC Attenuator
04 04 3e 15,ZCore[2].Synth Partial[1].Cutoff Keyfollow Base Point
04 04 3e 16,ZCore[2].Synth Partial[1].VA Waveform Invert Switch
04 04 3e 17,ZCore[2].Synth Partial[1].TVF Env Fine Depth
04 04 3e 18,ZCore[2].Synth Partial[1].PENV LFO Trigger Switch
04 04 3e 19,ZCore[2].Synth Partial[1].FENV LFO Trigger Switch
04 04 3e 1a,ZCore[2].Synth Partial[1].AENV LFO Trigger Switch
04 04 3e 1b,ZCore[2].Synth Partial[1].Pitch Down Depth
04 04 3e 1c,ZCore[2].Synth Partial[1].reserved
04 04 3e 1d,ZCore[2].Synth Partial[1].VA Init Phase
04 04 3f 00,ZCore[2].Synth Partial[2].OSC Type
04 04 3f 01,ZCore[2].Synth Partial[2].VA Waveform
04 04 3f 02,ZCore[2].Synth Partial[2].PCM-Sync Wave Number
04 04 3f 06,ZCore[2].Synth Partial[2].Pulse Width
04 04 3f 07,ZCore[2].Synth Partial[2].PWM Depth
04 04 3f 08,ZCore[2].Synth Partial[2].SuperSAW Detune
04 04 3f 09,ZCore[2].Synth Partial[2].Click Type
04 04 3f 0a,ZCore[2].Synth Partial[2].HPF Cutoff
04 04 3f 0e,ZCore[2].Synth Partial[2].Filter Type
04 04 3f 0f,ZCore[2].Synth Partial[2].Filter Slope
04 04 3f 10,ZCore[2].Synth Partial[2].ADSREnv Switch
04 04 3f 11,ZCore[2].Synth Partial[2].Fat
04 04 3f 12,ZCore[2].Synth Partial[2].VCF Type
04 04 3f 13,ZCore[2].Synth Partial[2].OSC Attenuator
04 04 3f 15,ZCore[2].Synth Partial[2].Cutoff Keyfollow Base Point
04 04 3f 16,ZCore[2].Synth Partial[2].VA Waveform Invert Switch
04 04 3f 17,ZCore[2].Synth Partial[2].TVF Env Fine Depth
04 04 3f 18,ZCore[2].Synth Partial[2].PENV LFO Trigger Switch
04 04 3f 19,ZCore[2].Synth Partial[2].FENV LFO Trigger Switch
04 04 3f 1a,ZCore[2].Synth Partial[2].AENV LFO Trigger Switch
04 04 3f 1b,ZCore[2].Synth Partial[2].Pitch Down Depth
04 04 3f 1c,ZCore[2].Synth Partial[2].reserved
04 04 3f 1d,ZCore[2].Synth Partial[2].VA Init Phase
04 04 40 00,ZCore[2].Synth Partial[3].OSC Type
04 04 40 01,ZCore[2].Synth Partial[3].VA Waveform
04 04 40 02,ZCore[2].Synth Partial[3].PCM-Sync Wave Number
04 04 40 06,ZCore[2].Synth Partial[3].Pulse Width
04 04 40 07,ZCore[2].Synth Partial[3].PWM Depth
04 04 40 08,ZCore[2].Synth Partial[3].SuperSAW Detune
04 04 40 09,ZCore[2].Synth Partial[3].Click Type
04 04 40 0a,ZCore[2].Synth Partial[3].HPF Cutoff
04 04 40 0e,ZCore[2].Synth Partial[3].Filter Type
04 04 40 0f,ZCore[2].Synth Partial[3].Filter Slope
04 04 40 10,ZCore[2].Synth Partial[3].ADSREnv Switch
04 04 40 11,ZCore[2].Synth Partial[3].Fat
04 04 40 12,ZCore[2].Synth Partial[3].VCF Type
04 04 40 13,ZCore[2].Synth Partial[3].OSC Attenuator
04 04 40 15,ZCore[2].Synth Partial[3].Cutoff Keyfollow Base Point
04 04 40 16,ZCore[2].Synth Partial[3].VA Waveform Invert Switch
04 04 40 17,ZCore[2].Synth Partial[3].TVF Env Fine Depth
04 04 40 18,ZCore[2].Synth Partial[3].PENV LFO Trigger Switch
04 04 40 19,ZCore[2].Synth Partial[3].FENV LFO Trigger Switch
04 04 40 1a,ZCore[2].Synth Partial[3].AENV LFO Trigger Switch
04 04 40 1b,ZCore[2].Synth Partial[3].Pitch Down Depth
04 04 40 1c,ZCore[2].Synth Partial[3].reserved
04 04 40 1d,ZCore[2].Synth Partial[3].VA Init Phase
04 04 41 00,ZCore[2].Synth Partial[4].OSC Type
04 04 41 01,ZCore[2].Synth Partial[4].VA Waveform
04 04 41 02,ZCore[2].Synth Partial[4].PCM-Sync Wave Number
04 04 41 06,ZCore[2].Synth Partial[4].Pulse Width
04 04 41 07,ZCore[2].Synth Partial[4].PWM Depth
